a1,b1,a2,b2,a3,b3,c1,d1,c2,d2,c3,d3
1.6002,2.9291,1.7164,15.588,1.8497,0.22253,0.062381,0.074558,1.2139,5.5601,0.55405,0.52199
2.9524,6.0146,0.42811,46.415,1.896,0.18011,0.054801,0.07128,4.7084,45.67,0.59036,0.47024
3.1943,9.2735,1.9829,0.22874,0.15512,0.0382,0.067322,0.073096,4.4847,29.57,0.54267,0.40865
2.0504,0.22035,0.14211,0.039644,3.2354,9.5698,0.063468,0.069244,3.9796,25.318,0.52012,0.38361
3.2299,9.9466,0.15762,0.041538,2.1348,0.24048,0.50191,0.36625,3.8089,24.328,0.059663,0.065965
0.15819,0.039131,3.1814,10.414,2.2762,0.28167,3.9771,26.187,0.055845,0.063092,0.48521,0.35423
0.18138,0.043732,3.1762,10.784,2.3522,0.30557,3.8313,25.475,0.052589,0.060268,0.47009,0.33902
0.19299,0.043779,2.4376,0.32934,3.1725,11.126,3.5811,24.671,0.45653,0.32499,0.049481,0.057655
0.212,0.04577,3.1689,11.454,2.515,0.35556,0.44408,0.31195,3.3674,24.029,0.046565,0.055227
2.5936,0.38245,3.1656,11.768,0.2294,0.047664,0.43226,0.29972,3.1726,23.446,0.043796,0.052944
3.1914,12.022,2.5577,0.40834,0.33268,0.058582,0.041424,0.050677,2.6104,19.934,0.42053,0.28569
0.25941,0.050469,3.1618,12.314,2.751,0.43834,2.7925,22.38,0.038593,0.048792,0.41088,0.27762
3.1606,12.547,2.8275,0.4679,0.27514,0.052323,0.40097,0.26761,2.6311,21.95,0.036133,0.046887
0.28864,0.054051,2.9057,0.49758,3.1596,12.76,0.39128,0.25815,2.486,21.54,0.033766,0.045066
3.1557,12.973,0.31152,0.05814,2.9772,0.53121,0.38156,0.2492,2.4025,21.363,0.031522,0.043325
3.1559,13.123,0.32254,0.059722,3.0557,0.56188,0.029285,0.041653,0.37249,0.24082,2.2783,21.003
3.1079,0.60635,3.1409,13.371,0.37566,0.072981,0.3619,0.23265,2.4541,21.27,0.027238,0.039997
3.1145,13.897,0.53963,0.089171,3.0646,0.67992,0.025856,0.038281,2.1398,18.008,0.34779,0.22271
3.0117,0.7104,3.1628,13.826,0.63342,0.094849,0.34142,0.21413,1.5357,15.53,0.024072,0.036783
3.2024,13.845,0.8301,0.11838,2.8655,0.76637,0.022481,0.035293,1.4017,14.615,0.33374,0.2057
0.92491,0.12866,2.7555,0.76583,3.3044,13.447,0.32997,0.19822,1.0992,13.509,0.02065,0.033892
1.9695,49.883,1.2173,0.13324,4.1039,1.844,0.029079,0.028419,0.2307,0.19097,0.60884,1.3709
2.0639,40.567,1.296,0.14656,3.9692,1.8256,0.026984,0.028417,0.23108,0.17977,0.63047,1.3891
2.2152,32.446,1.3757,0.16092,3.7824,1.7876,0.024464,0.028291,0.23693,0.17069,0.64847,1.3793
0.9847,0.16091,2.7399,0.71897,3.617,12.928,0.30289,0.17013,0.27837,1.4986,0.015212,0.028351
0.96126,0.17093,3.6958,12.934,2.7757,0.69,0.29541,0.16353,0.31148,1.392,0.014324,0.027127
1.292,0.18343,2.7516,0.94237,3.4939,14.624,0.2773,0.15511,0.43023,1.2887,0.014829,0.02619
3.7596,13.504,3.212,0.66633,0.64777,0.092252,0.27612,0.15031,0.31884,1.1257,0.013167,0.024888
1.008,0.11727,3.098,0.88045,3.613,14.733,0.2624,0.14349,0.40562,1.041,0.013181,0.023958
1.5983,0.1569,4.3823,2.4709,2.0607,57.244,0.19443,0.13298,0.8227,0.95653,0.023323,0.022304
1.7146,97.926,2.1412,0.21019,4.3751,3.6695,0.021622,0.019846,0.19784,0.13376,0.65205,0.78043
1.4805,125.94,2.0917,0.1838,4.7525,4.1989,0.018564,0.018138,0.20586,0.13304,0.71354,0.70303
0.63002,0.14091,3.8096,30.852,3.8976,0.65156,0.24076,0.1089,2.6287,6.4238,0.031429,0.024235
5.2329,8.606,2.486,0.30454,0.32343,0.038776,0.2554,0.12872,0.55361,0.53698,0.0057528,0.012942
